session_id,user_id,event_ts,event_name,step_no,platform,city
1,1,2026-06-04 20:59:43,app_open,1,Android,Pune
1,1,2026-06-04 20:59:24,search,2,Android,Pune
1,1,2026-06-04 21:02:36,restaurant_view,3,Android,Pune
1,1,2026-06-04 21:05:40,add_to_cart,4,Android,Pune
1,1,2026-06-04 21:01:20,checkout_start,5,Android,Pune
1,1,2026-06-04 21:01:12,payment_success,6,Android,Pune
2,2,2026-04-03 17:13:52,app_open,1,iOS,Hyderabad
2,2,2026-04-03 17:13:06,search,2,iOS,Hyderabad
2,2,2026-04-03 17:13:39,restaurant_view,3,iOS,Hyderabad
2,2,2026-04-03 17:19:00,add_to_cart,4,iOS,Hyderabad
2,2,2026-04-03 17:21:55,checkout_start,5,iOS,Hyderabad
2,2,2026-04-03 17:21:12,payment_success,6,iOS,Hyderabad
3,2,2026-04-12 12:11:58,app_open,1,iOS,Hyderabad
3,2,2026-04-12 12:12:50,search,2,iOS,Hyderabad
3,2,2026-04-12 12:15:39,restaurant_view,3,iOS,Hyderabad
3,2,2026-04-12 12:14:56,add_to_cart,4,iOS,Hyderabad
3,2,2026-04-12 12:14:05,checkout_start,5,iOS,Hyderabad
3,2,2026-04-12 12:14:06,payment_success,6,iOS,Hyderabad
4,2,2026-04-13 12:39:27,app_open,1,iOS,Hyderabad
4,2,2026-04-13 12:39:44,search,2,iOS,Hyderabad
4,2,2026-04-13 12:41:36,restaurant_view,3,iOS,Hyderabad
4,2,2026-04-13 12:45:52,add_to_cart,4,iOS,Hyderabad
4,2,2026-04-13 12:40:15,checkout_start,5,iOS,Hyderabad
4,2,2026-04-13 12:46:24,payment_success,6,iOS,Hyderabad
5,3,2026-06-10 11:54:11,app_open,1,iOS,Pune
5,3,2026-06-10 11:55:34,search,2,iOS,Pune
5,3,2026-06-10 11:55:48,restaurant_view,3,iOS,Pune
5,3,2026-06-10 11:58:16,add_to_cart,4,iOS,Pune
5,3,2026-06-10 12:02:30,checkout_start,5,iOS,Pune
5,3,2026-06-10 11:55:00,payment_success,6,iOS,Pune
6,4,2026-05-16 11:28:56,app_open,1,Android,Kolkata
6,4,2026-05-16 11:30:52,search,2,Android,Kolkata
6,4,2026-05-16 11:33:30,restaurant_view,3,Android,Kolkata
6,4,2026-05-16 11:31:24,add_to_cart,4,Android,Kolkata
6,4,2026-05-16 11:36:20,checkout_start,5,Android,Kolkata
6,4,2026-05-16 11:35:00,payment_success,6,Android,Kolkata
7,5,2026-01-28 21:45:36,app_open,1,Android,Mumbai
7,5,2026-01-28 21:46:44,search,2,Android,Mumbai
7,5,2026-01-28 21:46:45,restaurant_view,3,Android,Mumbai
7,5,2026-01-28 21:48:40,add_to_cart,4,Android,Mumbai
7,5,2026-01-28 21:53:45,checkout_start,5,Android,Mumbai
7,5,2026-01-28 21:50:24,payment_success,6,Android,Mumbai
8,9,2026-01-31 12:08:11,app_open,1,Android,Mumbai
8,9,2026-01-31 12:08:54,search,2,Android,Mumbai
8,9,2026-01-31 12:08:21,restaurant_view,3,Android,Mumbai
8,9,2026-01-31 12:13:48,add_to_cart,4,Android,Mumbai
8,9,2026-01-31 12:13:15,checkout_start,5,Android,Mumbai
8,9,2026-01-31 12:16:24,payment_success,6,Android,Mumbai
