order_id,user_id,order_ts,order_seq,city,platform,cuisine,gmv,discount,delivery_fee,promised_minutes,delivery_minutes,is_late,rating,status
1,1,2026-06-04 21:16:00,1,Pune,Android,South Indian,588.0,135.0,35,32.0,40.5,0,4.5,delivered
2,2,2026-04-03 17:35:00,1,Hyderabad,iOS,Burgers,502.0,158.0,0,32.0,23.2,0,5.0,delivered
3,2,2026-04-12 12:17:00,2,Hyderabad,iOS,North Indian,579.0,25.0,25,32.0,30.6,0,4.0,delivered
4,2,2026-04-13 12:54:00,3,Hyderabad,iOS,Biryani,445.0,63.0,45,32.0,31.3,0,5.0,delivered
5,3,2026-06-10 12:12:00,1,Pune,iOS,South Indian,328.0,101.0,25,32.0,26.6,0,4.0,delivered
6,4,2026-05-16 11:36:00,1,Kolkata,Android,North Indian,120.0,20.0,25,32.0,30.2,0,3.5,delivered
7,5,2026-01-28 21:51:00,1,Mumbai,Android,North Indian,515.0,129.0,45,32.0,42.3,1,5.0,delivered
8,9,2026-01-31 12:19:00,1,Mumbai,Android,North Indian,281.0,94.0,45,32.0,28.8,0,5.0,delivered
9,11,2026-03-24 20:44:00,1,Delhi NCR,iOS,Chinese,475.0,140.0,25,32.0,40.0,0,4.5,delivered
10,12,2026-06-22 21:52:00,1,Hyderabad,Android,South Indian,198.0,52.0,35,32.0,33.8,0,5.0,delivered
11,13,2026-05-12 19:58:00,1,Mumbai,Android,Biryani,469.0,111.0,45,32.0,40.6,0,4.0,delivered
12,14,2026-06-07 14:34:00,1,Bengaluru,iOS,Chinese,150.0,41.0,25,32.0,28.5,0,4.5,delivered
13,14,2026-06-27 12:05:00,2,Bengaluru,iOS,North Indian,553.0,49.0,45,32.0,41.6,0,4.5,delivered
14,15,2026-04-05 21:22:00,1,Hyderabad,Android,Burgers,478.0,130.0,25,32.0,33.5,0,5.0,delivered
15,18,2026-01-16 21:53:00,1,Mumbai,iOS,Biryani,490.0,153.0,45,32.0,36.7,0,4.0,delivered
16,18,2026-01-21 12:11:00,2,Mumbai,iOS,South Indian,314.0,42.0,35,32.0,28.7,0,5.0,delivered
17,18,2026-01-31 13:48:00,3,Mumbai,iOS,Pizza,386.0,55.0,25,32.0,41.0,0,4.0,delivered
18,19,2026-06-08 19:47:00,1,Hyderabad,Android,Biryani,381.0,102.0,0,32.0,33.6,0,5.0,delivered
19,20,2026-05-06 22:12:00,1,Hyderabad,iOS,Chinese,120.0,28.0,45,32.0,25.4,0,4.0,delivered
20,23,2026-06-26 12:46:00,1,Pune,Android,North Indian,373.0,100.0,25,32.0,35.4,0,4.5,delivered
21,24,2026-06-17 20:56:00,1,Bengaluru,Android,North Indian,256.0,91.0,35,32.0,37.3,0,4.5,delivered
22,25,2026-05-30 19:57:00,1,Hyderabad,iOS,Pizza,626.0,157.0,25,32.0,29.0,0,4.5,delivered
23,25,2026-06-06 13:24:00,2,Hyderabad,iOS,Chinese,524.0,70.0,25,32.0,42.9,1,5.0,delivered
24,25,2026-06-09 12:31:00,3,Hyderabad,iOS,Biryani,665.0,79.0,25,32.0,41.6,0,4.5,delivered
25,26,2026-02-14 20:35:00,1,Bengaluru,Android,North Indian,306.0,79.0,0,32.0,39.2,0,4.5,delivered
26,26,2026-03-07 17:33:00,2,Bengaluru,Android,Healthy,369.0,29.0,35,32.0,36.5,0,4.0,delivered
27,26,2026-03-28 19:19:00,3,Bengaluru,Android,South Indian,383.0,18.0,0,32.0,34.3,0,4.0,delivered
28,28,2026-01-18 11:18:00,1,Bengaluru,iOS,South Indian,381.0,121.0,25,32.0,45.3,1,4.0,delivered
29,30,2026-05-21 14:31:00,1,Bengaluru,Android,Pizza,292.0,88.0,35,32.0,49.1,1,3.5,delivered
